# Table B1
Lookback Time, z, cSFRD, E, S0-Sa, Sab-Scd, Sd-Irr, Mass 1, Mass 2, Mass 3, Mass 4
1.0, 0.07, 0.0087, 0.0005, 0.0014, 0.0033, 0.0030, 0.0019, 0.0031, 0.0019, 0.0022 
1.2, 0.09, 0.0093, 0.0005, 0.0015, 0.0036, 0.0031, 0.0021, 0.0034, 0.0021, 0.0022 
1.4, 0.10, 0.0100, 0.0006, 0.0017, 0.0040, 0.0032, 0.0024, 0.0037, 0.0023, 0.0022 
1.6, 0.12, 0.0108, 0.0006, 0.0019, 0.0043, 0.0033, 0.0026, 0.0040, 0.0024, 0.0022 
1.8, 0.14, 0.0115, 0.0007, 0.0021, 0.0047, 0.0034, 0.0029, 0.0044, 0.0026, 0.0021 
2.0, 0.15, 0.0122, 0.0008, 0.0023, 0.0051, 0.0034, 0.0032, 0.0047, 0.0027, 0.0021 
2.2, 0.17, 0.0129, 0.0009, 0.0025, 0.0054, 0.0034, 0.0036, 0.0051, 0.0028, 0.0020 
2.4, 0.19, 0.0135, 0.0010, 0.0028, 0.0056, 0.0034, 0.0039, 0.0054, 0.0028, 0.0019 
2.6, 0.21, 0.0142, 0.0011, 0.0031, 0.0059, 0.0033, 0.0044, 0.0057, 0.0028, 0.0018 
2.8, 0.23, 0.0149, 0.0012, 0.0034, 0.0062, 0.0033, 0.0048, 0.0060, 0.0028, 0.0017 
3.0, 0.25, 0.0156, 0.0014, 0.0038, 0.0064, 0.0033, 0.0053, 0.0063, 0.0028, 0.0016 
3.2, 0.27, 0.0165, 0.0015, 0.0041, 0.0066, 0.0032, 0.0059, 0.0066, 0.0028, 0.0016 
3.4, 0.29, 0.0174, 0.0017, 0.0046, 0.0069, 0.0032, 0.0065, 0.0070, 0.0028, 0.0015 
3.6, 0.31, 0.0184, 0.0019, 0.0050, 0.0072, 0.0032, 0.0072, 0.0073, 0.0027, 0.0015 
3.8, 0.33, 0.0194, 0.0021, 0.0055, 0.0075, 0.0032, 0.0079, 0.0076, 0.0027, 0.0014 
4.0, 0.35, 0.0203, 0.0023, 0.0059, 0.0077, 0.0032, 0.0086, 0.0079, 0.0027, 0.0014 
4.2, 0.38, 0.0213, 0.0026, 0.0064, 0.0079, 0.0032, 0.0093, 0.0082, 0.0027, 0.0013 
4.4, 0.40, 0.0222, 0.0028, 0.0068, 0.0082, 0.0032, 0.0100, 0.0084, 0.0027, 0.0013 
4.6, 0.42, 0.0232, 0.0031, 0.0072, 0.0084, 0.0031, 0.0108, 0.0087, 0.0027, 0.0013 
4.8, 0.45, 0.0242, 0.0033, 0.0077, 0.0086, 0.0031, 0.0115, 0.0089, 0.0027, 0.0012 
5.0, 0.47, 0.0252, 0.0036, 0.0081, 0.0088, 0.0031, 0.0123, 0.0091, 0.0027, 0.0012 
5.2, 0.50, 0.0261, 0.0039, 0.0086, 0.0090, 0.0031, 0.0131, 0.0093, 0.0026, 0.0012 
5.4, 0.53, 0.0270, 0.0043, 0.0090, 0.0091, 0.0031, 0.0138, 0.0096, 0.0026, 0.0011 
5.6, 0.56, 0.0279, 0.0046, 0.0095, 0.0092, 0.0030, 0.0145, 0.0098, 0.0026, 0.0011 
5.8, 0.59, 0.0290, 0.0050, 0.0100, 0.0094, 0.0030, 0.0154, 0.0101, 0.0026, 0.0011 
6.0, 0.62, 0.0301, 0.0054, 0.0105, 0.0095, 0.0030, 0.0162, 0.0103, 0.0025, 0.0010 
6.2, 0.65, 0.0312, 0.0058, 0.0111, 0.0097, 0.0030, 0.0172, 0.0106, 0.0025, 0.0010 
6.4, 0.69, 0.0323, 0.0063, 0.0116, 0.0098, 0.0029, 0.0181, 0.0108, 0.0025, 0.0010 
6.6, 0.72, 0.0334, 0.0067, 0.0122, 0.0099, 0.0029, 0.0191, 0.0110, 0.0024, 0.0009 
6.8, 0.76, 0.0346, 0.0072, 0.0127, 0.0100, 0.0029, 0.0201, 0.0112, 0.0024, 0.0009 
7.0, 0.80, 0.0358, 0.0077, 0.0133, 0.0101, 0.0029, 0.0212, 0.0113, 0.0024, 0.0009 
7.2, 0.84, 0.0369, 0.0083, 0.0138, 0.0101, 0.0028, 0.0223, 0.0115, 0.0024, 0.0009 
7.4, 0.88, 0.0382, 0.0089, 0.0144, 0.0102, 0.0028, 0.0234, 0.0116, 0.0023, 0.0009 
7.6, 0.92, 0.0394, 0.0095, 0.0150, 0.0102, 0.0028, 0.0246, 0.0117, 0.0023, 0.0008 
7.8, 0.97, 0.0407, 0.0102, 0.0156, 0.0102, 0.0028, 0.0258, 0.0118, 0.0023, 0.0008 
8.0, 1.02, 0.0420, 0.0109, 0.0163, 0.0101, 0.0027, 0.0271, 0.0119, 0.0022, 0.0008 
8.2, 1.07, 0.0433, 0.0116, 0.0169, 0.0101, 0.0027, 0.0284, 0.0120, 0.0022, 0.0008 
8.4, 1.12, 0.0447, 0.0124, 0.0175, 0.0101, 0.0027, 0.0297, 0.0121, 0.0022, 0.0007 
8.6, 1.18, 0.0461, 0.0132, 0.0182, 0.0100, 0.0026, 0.0311, 0.0122, 0.0021, 0.0007 
8.8, 1.24, 0.0475, 0.0140, 0.0190, 0.0099, 0.0026, 0.0325, 0.0123, 0.0021, 0.0007 
9.0, 1.31, 0.0489, 0.0149, 0.0196, 0.0098, 0.0025, 0.0339, 0.0124, 0.0020, 0.0007 
9.2, 1.38, 0.0505, 0.0158, 0.0203, 0.0097, 0.0025, 0.0354, 0.0124, 0.0020, 0.0006 
9.4, 1.45, 0.0521, 0.0167, 0.0211, 0.0096, 0.0024, 0.0370, 0.0125, 0.0020, 0.0006 
9.6, 1.53, 0.0538, 0.0176, 0.0220, 0.0095, 0.0024, 0.0388, 0.0126, 0.0019, 0.0006 
9.8, 1.62, 0.0555, 0.0186, 0.0229, 0.0093, 0.0023, 0.0405, 0.0126, 0.0019, 0.0006 
10.0, 1.72, 0.0573, 0.0196, 0.0238, 0.0092, 0.0023, 0.0422, 0.0127, 0.0018, 0.0005 
10.2, 1.82, 0.0592, 0.0207, 0.0248, 0.0090, 0.0022, 0.0441, 0.0128, 0.0018, 0.0005 
10.4, 1.93, 0.0610, 0.0217, 0.0258, 0.0089, 0.0022, 0.0460, 0.0128, 0.0017, 0.0005 
10.6, 2.06, 0.0627, 0.0228, 0.0267, 0.0087, 0.0021, 0.0478, 0.0128, 0.0017, 0.0005 
10.8, 2.19, 0.0642, 0.0237, 0.0274, 0.0084, 0.0020, 0.0494, 0.0128, 0.0016, 0.0004 
11.0, 2.35, 0.0657, 0.0249, 0.0280, 0.0082, 0.0019, 0.0510, 0.0128, 0.0015, 0.0004 
11.2, 2.52, 0.0670, 0.0260, 0.0286, 0.0080, 0.0019, 0.0524, 0.0127, 0.0015, 0.0004 
11.4, 2.72, 0.0682, 0.0270, 0.0292, 0.0077, 0.0018, 0.0538, 0.0126, 0.0014, 0.0004 
11.6, 2.94, 0.0690, 0.0278, 0.0295, 0.0074, 0.0017, 0.0548, 0.0125, 0.0013, 0.0004 
11.8, 3.20, 0.0692, 0.0285, 0.0296, 0.0070, 0.0016, 0.0555, 0.0122, 0.0012, 0.0003 
12.0, 3.51, 0.0690, 0.0289, 0.0295, 0.0066, 0.0015, 0.0556, 0.0119, 0.0012, 0.0003 
12.2, 3.88, 0.0677, 0.0290, 0.0288, 0.0062, 0.0014, 0.0547, 0.0116, 0.0011, 0.0003 
12.4, 4.34, 0.0653, 0.0285, 0.0274, 0.0057, 0.0012, 0.0529, 0.0112, 0.0010, 0.0002 
12.6, 4.92, 0.0616, 0.0273, 0.0259, 0.0051, 0.0011, 0.0501, 0.0105, 0.0009, 0.0002 
12.8, 5.69, 0.0565, 0.0256, 0.0234, 0.0045, 0.0010, 0.0460, 0.0095, 0.0008, 0.0002 
13.0, 6.77, 0.0500, 0.0233, 0.0199, 0.0038, 0.0008, 0.0408, 0.0084, 0.0006, 0.0002 
13.2, 8.41, 0.0357, 0.0170, 0.0135, 0.0024, 0.0005, 0.0297, 0.0054, 0.0004, 0.0001 
