# Table B3
Lookback Time, z, Total, Stars, Gas  
1.0, 0.07, 6.7590, 6.5335, 6.3663
1.2, 0.09, 6.7574, 6.5310, 6.3660
1.4, 0.10, 6.7557, 6.5285, 6.3654
1.6, 0.12, 6.7538, 6.5257, 6.3648
1.8, 0.14, 6.7518, 6.5228, 6.3642
2.0, 0.15, 6.7497, 6.5198, 6.3634
2.2, 0.17, 6.7475, 6.5167, 6.3626
2.4, 0.19, 6.7457, 6.5140, 6.3617
2.6, 0.21, 6.7430, 6.5103, 6.3608
2.8, 0.23, 6.7403, 6.5066, 6.3597
3.0, 0.25, 6.7375, 6.5025, 6.3584
3.2, 0.27, 6.7343, 6.4981, 6.3570
3.4, 0.29, 6.7308, 6.4932, 6.3553
3.6, 0.31, 6.7269, 6.4879, 6.3535
3.8, 0.33, 6.7230, 6.4824, 6.3515
4.0, 0.35, 6.7188, 6.4769, 6.3492
4.2, 0.38, 6.7145, 6.4711, 6.3467
4.4, 0.40, 6.7097, 6.4649, 6.3439
4.6, 0.42, 6.7047, 6.4583, 6.3408
4.8, 0.45, 6.6991, 6.4516, 6.3374
5.0, 0.47, 6.6935, 6.4442, 6.3337
5.2, 0.50, 6.6873, 6.4366, 6.3296
5.4, 0.53, 6.6809, 6.4285, 6.3252
5.6, 0.56, 6.6743, 6.4203, 6.3204
5.8, 0.59, 6.6672, 6.4116, 6.3154
6.0, 0.62, 6.6595, 6.4024, 6.3098
6.2, 0.65, 6.6515, 6.3926, 6.3037
6.4, 0.69, 6.6430, 6.3825, 6.2972
6.6, 0.72, 6.6340, 6.3718, 6.2901
6.8, 0.76, 6.6246, 6.3607, 6.2828
7.0, 0.80, 6.6146, 6.3490, 6.2747
7.2, 0.84, 6.6040, 6.3367, 6.2662
7.4, 0.88, 6.5928, 6.3237, 6.2572
7.6, 0.92, 6.5809, 6.3100, 6.2475
7.8, 0.97, 6.5682, 6.2958, 6.2369
8.0, 1.02, 6.5548, 6.2806, 6.2258
8.2, 1.07, 6.5408, 6.2639, 6.2139
8.4, 1.12, 6.5255, 6.2465, 6.2008
8.6, 1.18, 6.5090, 6.2281, 6.1866
8.8, 1.24, 6.4918, 6.2086, 6.1715
9.0, 1.31, 6.4734, 6.1879, 6.1555
9.2, 1.38, 6.4536, 6.1657, 6.1381
9.4, 1.45, 6.4319, 6.1418, 6.1191
9.6, 1.53, 6.4085, 6.1159, 6.0982
9.8, 1.62, 6.3829, 6.0877, 6.0750
10.0, 1.72, 6.3549, 6.0571, 6.0497
10.2, 1.82, 6.3240, 6.0245, 6.0218
10.4, 1.93, 6.2902, 5.9875, 5.9907
10.6, 2.06, 6.2525, 5.9475, 5.9555
10.8, 2.19, 6.2103, 5.9027, 5.9161
11.0, 2.35, 6.1635, 5.8547, 5.8719
11.2, 2.52, 6.1114, 5.7994, 5.8224
11.4, 2.72, 6.0527, 5.7375, 5.7653
11.6, 2.94, 5.9848, 5.6645, 5.7010
11.8, 3.20, 5.9061, 5.5818, 5.6250
12.0, 3.51, 5.8113, 5.4845, 5.5334
12.2, 3.88, 5.6964, 5.3688, 5.4217
12.4, 4.34, 5.5602, 5.2345, 5.2815
12.6, 4.92, 5.3876, 5.0686, 5.1055
12.8, 5.69, 5.1633, 4.8610, 4.8645
13.0, 6.77, 4.8452, 4.6168, 4.4590
13.2, 8.41, 4.2717, 4.1226, 3.7287
