# Table C2
Lookback Time, z, Total, Stars, Gas 
1.0, 0.07, 6.7829, 6.5690,6.3718 
 1.2, 0.09, 6.7813, 6.5665,6.3715 
 1.4, 0.10, 6.7795, 6.5639,6.3711 
 1.6, 0.12, 6.7776, 6.5611,6.3707 
 1.8, 0.14, 6.7756, 6.5581,6.3702 
 2.0, 0.15, 6.7735, 6.5550,6.3696 
 2.2, 0.17, 6.7713, 6.5517,6.3690 
 2.4, 0.19, 6.7693, 6.5488,6.3682 
 2.6, 0.21, 6.7665, 6.5448,6.3673 
 2.8, 0.23, 6.7636, 6.5408,6.3662 
 3.0, 0.25, 6.7605, 6.5365,6.3649 
 3.2, 0.27, 6.7572, 6.5319,6.3634 
 3.4, 0.29, 6.7535, 6.5269,6.3618 
 3.6, 0.31, 6.7495, 6.5213,6.3599 
 3.8, 0.33, 6.7454, 6.5159,6.3579 
 4.0, 0.35, 6.7412, 6.5103,6.3557 
 4.2, 0.38, 6.7367, 6.5044,6.3532 
 4.4, 0.40, 6.7319, 6.4982,6.3504 
 4.6, 0.42, 6.7268, 6.4916,6.3473 
 4.8, 0.45, 6.7214, 6.4848,6.3440 
 5.0, 0.47, 6.7156, 6.4776,6.3404 
 5.2, 0.50, 6.7095, 6.4700,6.3364 
 5.4, 0.53, 6.7031, 6.4620,6.3321 
 5.6, 0.56, 6.6963, 6.4536,6.3274 
 5.8, 0.59, 6.6890, 6.4448,6.3223 
 6.0, 0.62, 6.6814, 6.4355,6.3169 
 6.2, 0.65, 6.6734, 6.4258,6.3111 
 6.4, 0.69, 6.6648, 6.4156,6.3049 
 6.6, 0.72, 6.6558, 6.4048,6.2982 
 6.8, 0.76, 6.6464, 6.3934,6.2912 
 7.0, 0.80, 6.6364, 6.3813,6.2837 
 7.2, 0.84, 6.6259, 6.3686,6.2757 
 7.4, 0.88, 6.6146, 6.3550,6.2673 
 7.6, 0.92, 6.6026, 6.3407,6.2583 
 7.8, 0.97, 6.5899, 6.3254,6.2487 
 8.0, 1.02, 6.5763, 6.3091,6.2384 
 8.2, 1.07, 6.5619, 6.2919,6.2273 
 8.4, 1.12, 6.5465, 6.2734,6.2153 
 8.6, 1.18, 6.5301, 6.2538,6.2025 
 8.8, 1.24, 6.5124, 6.2327,6.1887 
 9.0, 1.31, 6.4934, 6.2102,6.1739 
 9.2, 1.38, 6.4729, 6.1862,6.1575 
 9.4, 1.45, 6.4508, 6.1601,6.1393 
 9.6, 1.53, 6.4267, 6.1317,6.1192 
 9.8, 1.62, 6.4001, 6.1010,6.0967 
 10.0, 1.72, 6.3710, 6.0673,6.0720 
 10.2, 1.82, 6.3387, 6.0303,6.0444 
 10.4, 1.93, 6.3031, 5.9894,6.0136 
 10.6, 2.06, 6.2630, 5.9436,5.9788 
 10.8, 2.19, 6.2179, 5.8933,5.9390 
 11.0, 2.35, 6.1668, 5.8367,5.8934 
 11.2, 2.52, 6.1087, 5.7727,5.8404 
 11.4, 2.72, 6.0420, 5.7004,5.7788 
 11.6, 2.94, 5.9654, 5.6196,5.7054 
 11.8, 3.20, 5.8771, 5.5287,5.6193 
 12.0, 3.51, 5.7745, 5.4253,5.5158 
 12.2, 3.88, 5.6547, 5.3090,5.3921 
 12.4, 4.34, 5.5140, 5.1759,5.2420 
 12.6, 4.92, 5.3472, 5.0299,5.0613 
 12.8, 5.69, 5.1454, 4.8674,4.8275 
 13.0, 6.77, 4.8962, 4.7102,4.4339 
 13.2, 8.41, 4.4049, 4.2822,3.7966 
 
